chunk_id,topics,notes
c0006,贫困生计,illegal topic: 贫穷生存压力
c0007,贫困生计,illegal topic: 贫穷生存压力
c0008,贫困生计,illegal topic: 贫穷生存压力
c0011,贫困生计,illegal topic: 贫穷生存压力
c0018,贫困生计,illegal topic: 贫穷生存压力
c0019,贫困生计,illegal topic: 贫穷生存压力
c0021,贫困生计,illegal topic: 贫穷生存压力
c0022,贫困生计,illegal topic: 贫穷生存压力
c0029,贫困生计,illegal topic: 贫穷生存压力
c0031,贫困生计,illegal topic: 贫穷生存压力
c0032,贫困生计,illegal topic: 贫穷生存压力
c0033,贫困生计,illegal topic: 贫穷生存压力
c0054,贫困生计,illegal topic: 贫穷生存压力
c0056,贫困生计,illegal topic: 贫穷生存压力
c0057,贫困生计,illegal topic: 贫穷生存压力
c0058,贫困生计,illegal topic: 贫穷生存压力
c0059,贫困生计,illegal topic: 贫穷生存压力
c0060,贫困生计,illegal topic: 贫穷生存压力
c0066,贫困生计,illegal topic: 贫穷生存压力
c0068,贫困生计,illegal topic: 贫穷生存压力
c0074,贫困生计,illegal topic: 贫穷生存压力
c0076,贫困生计,illegal topic: 贫穷生存压力
c0083,贫困生计,illegal topic: 贫穷生存压力
c0085,贫困生计,illegal topic: 贫穷生存压力
c0088,贫困生计,illegal topic: 贫穷生存压力
c0102,贫困生计,illegal topic: 贫穷生存压力
c0104,贫困生计,illegal topic: 贫穷生存压力
c0106,贫困生计,illegal topic: 贫穷生存压力
c0111,贫困生计,illegal topic: 贫穷生存压力
c0127,贫困生计,illegal topic: 贫穷生存压力
c0134,贫困生计,illegal topic: 贫穷生存压力
c0137,老牛陪伴,illegal topic: 贫穷生存压力
