chunk_id,source,raw_output,parsed_topics,final_topics
c0001,llm,"{""topics"": [""序言与创作背景""]}",序言与创作背景,序言与创作背景
c0002,llm,"{""topics"": [""序言与创作背景""]}",序言与创作背景,序言与创作背景
c0003,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0004,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0005,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0006,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0007,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0008,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0009,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0010,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0011,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0012,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0013,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0014,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0015,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0016,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0017,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0018,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0019,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0020,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0021,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0022,llm,"{""topics"": [""徐家败落与父亲去世""]}",徐家败落与父亲去世,徐家败落与父亲去世
c0023,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0024,llm,"{""topics"": [""徐家败落与父亲去世""]}",徐家败落与父亲去世,徐家败落与父亲去世
c0025,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0026,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0027,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0028,llm,"{""topics"": [""叙述者见闻""]}",叙述者见闻,叙述者见闻
c0029,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0030,llm,"{""topics"": [""租田务农与求生""]}",租田务农与求生,租田务农与求生
c0031,llm,"{""topics"": [""徐家败落与父亲去世""]}",徐家败落与父亲去世,徐家败落与父亲去世
c0032,llm,"{""topics"": [""徐家败落与父亲去世""]}",徐家败落与父亲去世,徐家败落与父亲去世
c0033,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0034,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0035,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0036,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0037,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0038,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0039,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0040,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0041,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0042,llm,"{""topics"": [""其他/未分类""]}",其他/未分类,其他/未分类
c0043,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0044,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0045,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0046,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0047,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0048,llm,"{""topics"": [""参军战争""]}",参军战争,参军战争
c0049,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0050,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0051,llm,"{""topics"": [""土地改革与龙二被枪决""]}",土地改革与龙二被枪决,土地改革与龙二被枪决
c0052,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0053,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0054,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0055,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0056,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0057,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0058,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0059,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0060,llm,"{""topics"": [""凤霞回家与聋哑""]}",凤霞回家与聋哑,凤霞回家与聋哑
c0061,llm,"{""topics"": [""租田务农与求生""]}",租田务农与求生,租田务农与求生
c0062,llm,"{""topics"": [""人民公社与大炼钢""]}",人民公社与大炼钢,人民公社与大炼钢
c0063,llm,"{""topics"": [""人民公社与大炼钢""]}",人民公社与大炼钢,人民公社与大炼钢
c0064,llm,"{""topics"": [""赌博败家""]}",赌博败家,赌博败家
c0065,llm,"{""topics"": [""徐家败落与父亲去世""]}",徐家败落与父亲去世,徐家败落与父亲去世
c0066,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0067,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0068,llm,"{""topics"": [""凤霞生产死亡""]}",凤霞生产死亡,凤霞生产死亡
c0069,llm,"{""topics"": [""凤霞生产死亡""]}",凤霞生产死亡,凤霞生产死亡
c0070,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0071,llm,"{""topics"": [""凤霞生产死亡""]}",凤霞生产死亡,凤霞生产死亡
c0072,llm,"{""topics"": [""凤霞生产死亡""]}",凤霞生产死亡,凤霞生产死亡
c0073,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0074,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0075,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0076,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0077,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0078,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0079,llm,"{""topics"": [""饥荒与借粮求生""]}",饥荒与借粮求生,饥荒与借粮求生
c0080,llm,"{""topics"": [""有庆上学与跑步""]}",有庆上学与跑步,有庆上学与跑步
c0081,llm,"{""topics"": [""租田务农与求生""]}",租田务农与求生,租田务农与求生
c0082,llm,"{""topics"": [""饥荒与借粮求生""]}",饥荒与借粮求生,饥荒与借粮求生
c0083,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0084,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0085,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0086,llm,"{""topics"": [""凤霞被送走""]}",凤霞被送走,凤霞被送走
c0087,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0088,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0089,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0090,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0091,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0092,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0093,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0094,llm,"{""topics"": [""有庆献血死亡""]}",有庆献血死亡,有庆献血死亡
c0095,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0096,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
c0097,llm,"{""topics"": [""家珍患病离世""]}",家珍患病离世,家珍患病离世
